volcano_number,volcano_name,primary_volcano_type,last_eruption_year,country,region,subregion,latitude,longitude,elevation,RowNum
283001,Abu,Shield(s),-6850,Japan,Japan/ Taiwan/ Marianas,Honshu,34.5,131.6,641,0
342080,Acatenango,Stratovolcano(es),1972,Guatemala,México and Central America,Guatemala,14.501,-90.876,3976,1
213004,Acigol-Nevsehir,Caldera,-2080,Turkey,Mediterranean and Western Asia,Turkey,38.537,34.621,1683,2
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,USA (Washington),46.206,-121.49,3742,3
283170,Adatarayama,Stratovolcano(es),1996,Japan,Japan/ Taiwan/ Marianas,Honshu,37.647,140.281,1728,4
284160,Agrigan,Stratovolcano,1917,United States,Japan/ Taiwan/ Marianas,Izu/ Volcano/ and Mariana Islands,18.77,145.67,965,5
382090,Agua de Pau,Stratovolcano,1564,Portugal,Atlantic Ocean,Azores,37.77,-25.47,947,6
358062,Aguilera,Stratovolcano,-1250,Chile,South America,Southern Chile and Argentina,-50.33,-73.75,2546,7
264020,Agung,Stratovolcano,2019,Indonesia,Indonesia,Lesser Sunda Islands,-8.343,115.508,2997,8
284141,Ahyi,Submarine,2014,United States,Japan/ Taiwan/ Marianas,Izu/ Volcano/ and Mariana Islands,20.42,145.03,-75,9
282080,Aira,Caldera,2020,Japan,Japan/ Taiwan/ Marianas,Ryukyu Islands and Kyushu,31.593,130.657,1117,10
300125,Akademia Nauk,Stratovolcano(es),1996,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,53.98,159.45,1180,11
285070,Akan,Caldera,2008,Japan,Japan/ Taiwan/ Marianas,Hokkaido,43.384,144.013,1499,12
283230,Akita-Komagatake,Stratovolcano(es),1971,Japan,Japan/ Taiwan/ Marianas,Honshu,39.761,140.799,1637,13
283260,Akita-Yakeyama,Stratovolcano,1997,Japan,Japan/ Taiwan/ Marianas,Honshu,39.964,140.757,1366,14
311320,Akutan,Stratovolcano,1992,United States,Alaska,Aleutian Islands,54.134,-165.986,1303,15
290390,Alaid,Stratovolcano,2018,Russia,Kuril Islands,Kuril Islands,50.861,155.565,2285,16
221112,Alayta,Shield,1915,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,12.888,40.573,1496,17
353040,Alcedo,Shield,1993,Ecuador,South America,Galapagos Islands,-0.43,-91.12,1130,18
352031,Aliso,Stratovolcano,-2450,Ecuador,South America,Ecuador,-0.53,-78.0,4267,19
